Ca,Tr,Ca0,Q
4.233865484,238.9714599,6.090099579,12.04034279
4.360477957,244.6144464,2.045865405,116.2385222
4.209380914,265.0347739,4.644592044,-42.71169523
4.249936848,259.0981726,2.346449705,114.9765306
4.089175555,279.8626802,3.438148229,11.1643108
4.237986833,282.4327399,4.759095105,90.62495959
4.280205824,296.8323483,4.864942292,-89.80218452
4.249541925,284.2093953,4.638801469,-2.981620518
4.324243402,283.1414345,4.335354461,55.42239882
4.158186628,293.4919448,2.220678147,-87.04802208
4.130130842,279.6768782,1.274082035,-62.76132376
3.953301817,271.9078045,0.571750276,35.93325922
3.879427843,279.2048687,2.566206137,-86.86485564
3.799506322,267.7908062,1.167016366,-60.06783607
3.593788463,260.1134794,2.004470689,-59.55452312
3.529935529,251.6707652,3.799869002,13.74911807
3.680598063,257.6571253,6.415791809,135.69715
3.733329209,279.711019,0.842076604,-74.41160278
3.665150159,269.1450886,5.003179991,-94.03707339
3.656787321,256.95531,6.591021254,-78.49933231
3.924524993,247.8172402,5.692285272,42.50570152
3.862384147,256.7836902,6.092198581,-130.2090209
4.018190216,237.4569087,2.107018201,56.84097653
4.020351881,250.1076359,1.112937563,-130.3918207
3.865182995,232.1832014,2.999944536,24.93944407
3.798430482,240.7028073,0.865559092,-120.6489913
3.642899369,225.1038299,0.804508302,-29.12479164
3.53013288,224.0667851,5.178989322,-83.88136454
3.610853961,215.0754116,6.633865162,-18.78080832
3.74877771,216.723593,4.837490246,-58.21479829
3.750275214,210.6624318,4.806782014,126.0166663
3.786729829,234.7525292,3.636103016,-81.37505144
3.828878254,226.6259128,3.477571043,-15.3960388
3.802121856,226.6883567,4.053322407,7.148125519
3.863457982,231.1508345,0.797004343,-93.21692797
3.779845622,221.4383766,3.651590257,57.76977424
3.752993097,233.7084838,5.943115358,76.97306157
3.807705817,248.6684855,4.019451268,126.8743416
3.74807295,270.3856832,2.823115988,-5.150510871
3.786685432,271.2874796,5.738617995,99.39987419
3.913791175,288.2192511,3.401220386,96.85681727
3.817088735,303.1489034,3.611996592,59.92975043
3.808108663,312.6087187,0.559138545,-131.888504
3.732740011,291.5194901,7.083153455,-110.5172454
3.911517244,275.4039124,5.133774533,-60.20590931
3.873597551,266.9595374,1.905896406,-31.01828523
3.888732267,264.8806469,6.981311176,19.52061538
4.03807929,269.8973958,6.917002284,56.18451583
4.175255233,279.5964553,4.008515162,1.690787222
1,350,4.355585318,57.81884424
1.248502155,357.8847077,2.536333172,3.007668351
1.238367468,356.314656,6.75062868,110.0814224
1.650291554,370.4931021,1.379097173,-81.32142925
1.501470611,354.0657038,0.860270423,-16.44171141
1.61200701,350.941422,0.709133476,-11.99077196
1.516826492,346.7923773,5.044008333,-61.5313153
1.661608481,335.082088,5.233784314,25.23967352
1.853179695,337.4199633,0.667873177,16.34835908
1.769099386,337.2014709,2.314767128,-23.58300272
1.768329022,332.7274193,2.484675572,53.64942605
1.790793092,339.1735406,3.583176024,-95.31452472
1.994152758,324.2688615,4.312543126,77.86521859
2.111007544,333.6014376,2.644544727,-77.23392731
2.134018642,320.2085966,3.215798803,121.2176902
2.167721402,339.3709885,7.331967957,47.88435825
2.473776708,345.6121022,6.81983876,96.04191638
2.598794141,358.7772286,3.145958289,-113.2730622
2.625791525,338.8285446,5.073876318,16.06687973
2.757223212,339.7101891,3.030953341,-76.37375477
2.709237234,326.7419227,3.345639415,-8.627709385
2.845971172,325.3219079,2.384649048,-57.83534512
2.822281886,315.4780304,3.703804795,100.1483172
2.701292024,328.4811429,4.603770331,-60.14226525
2.827541555,318.8616803,2.445842546,-12.60498003
2.958212978,317.4970922,1.937872412,-82.95036468
2.758353466,303.6720678,4.098245419,-114.6585178
2.935483782,286.4877105,3.885098726,-38.28438851
3.014039943,281.5146625,5.453806353,68.54062301
3.161018808,291.7117307,5.337650453,52.55011914
3.26413209,301.4424948,3.115200869,46.70411616
3.237242252,307.3400086,2.878940648,20.22052103
3.199827134,309.7682606,2.780650106,-15.23748753
3.081816873,308.0323622,0.930702516,-71.47905511
3.028143628,297.8550879,7.301218243,-74.837727
3.335499793,286.4761057,5.340342577,41.79913063
3.423980721,292.1751603,5.567573976,-6.919830933
3.535044142,293.1995352,4.676646422,-120.2862808
3.636267997,273.8946581,1.007934965,-83.61777716
3.512668043,262.3755844,1.563026979,-111.0821354
3.431916613,248.9236364,1.405057052,14.79937113
3.175999047,253.0415907,1.814703774,125.5836887
3.10553922,274.8492409,5.271282452,11.39435462
3.329008925,276.7433127,5.450264206,-65.58704109
3.473317068,268.6600983,6.98707979,94.22030137
